	TCGA-A1-A0SP-01	TCGA-A1-A0SB-01	TCGA-A1-A0SM-01	TCGA-A1-A0SO-01	TCGA-A1-A0SK-01	TCGA-A1-A0SF-01	TCGA-A1-A0SQ-01	TCGA-A1-A0SN-01	TCGA-A1-A0SG-01	TCGA-A1-A0SE-01	TCGA-A1-A0SH-01	TCGA-A1-A0SD-01	TCGA-A1-A0SI-01	TCGA-A1-A0SJ-01
SLC39A9	3607	6468	8795	8228	7444	6535	8245	7073	10755	13090	11357	9952	10823	10047
SLC3A1	2	11	23	11	14	10	5	10	7	7	5	54	51	4
SLC3A2	17279	7405	10562	5804	13563	7528	5360	10300	10402	8505	9730	7238	7834	25763
SLC40A1	2878	2662	22066	1733	1113	15914	2045	10742	10310	24962	40964	8929	16625	4988
SLC41A1	1779	1514	4964	4779	1872	732	2314	1951	493	2858	1464	2699	3468	1634
SLC41A2	476	397	1544	513	511	484	626	1229	382	627	1729	655	1431	1491
SLC41A3	4957	3588	2043	1806	4074	2157	2115	2073	2428	2372	1863	3208	3080	2888
SLC43A1	314	80	445	90	765	518	1377	878	443	536	813	934	700	458
SLC43A2	1706	2065	3478	3721	1623	1787	1214	6770	1293	2231	1526	1265	3504	1262
SLC43A3	11604	7913	2310	3672	13454	1179	1227	2211	1938	2445	2206	1970	5379	1752
SLC44A1	17630	3459	8104	9085	17204	6104	4614	12519	14579	18026	15333	13747	14577	7412
SLC44A2	14977	18015	15693	27182	12948	15077	11234	23492	26433	17355	20307	16979	16295	9860
SLC44A3	599	1110	2619	892	162	299	447	424	541	825	1265	769	997	181
SLC44A4	611	123	13623	41	809	6963	16058	7410	3839	6944	4540	11470	11794	7921
SLC44A5	102	1	577	41	294	1600	988	168	6	141	143	330	198	248
SLC45A1	125	55	241	305	202	87	316	120	60	221	69	148	160	586
SLC45A2	0	1	8	0	4	0	0	9	0	2	2	1	6	5
SLC45A3	560	1480	1793	318	549	205	1244	656	226	313	363	254	353	148
SLC45A4	1643	9116	1336	433	3665	1247	902	1014	1323	1152	506	988	877	1011
SLC46A1	362	1810	6741	2830	1126	2281	1793	6589	1539	3638	1774	3506	945	2501
SLC46A2	16	3	13	4	3	17	10	11	12	37	48	11	37	32
SLC46A3	380	777	1388	2028	809	598	332	1207	2018	672	2301	1686	1334	2493
SLC47A1	188	8	82	60	199	66	59	375	1139	244	101	90	84	216
SLC47A2	3	4	1	1	44	2	2	0	16	5	2	6	1	8
SLC48A1	1002	1256	1452	1907	1570	2481	1957	2121	2504	2447	2119	2169	1718	963
SLC4A10	2	1	3	125	2	3	4	11	75	20	6	25	0	10
SLC4A11	1907	1417	199	706	213	112	92	824	873	280	154	272	2332	74
SLC4A1AP	2431	1286	2137	4427	2487	1359	2107	2023	1844	2062	1596	2214	2302	1620
SLC4A1	0	0	0	1	7	0	0	0	0	0	0	1	0	6
SLC4A2	8335	3342	9126	6338	8434	4500	7715	6429	6489	7154	4646	4546	8022	4338
SLC4A3	786	602	999	647	526	418	169	320	414	583	254	558	488	644
SLC4A4	111	1214	24	135	79	24	42	12	20	13	21	210	19	240
SLC4A5	1674	605	712	1580	1542	1128	431	834	482	596	384	403	654	590
SLC4A7	2083	2052	1916	3533	1791	3012	1114	3984	1365	2611	1313	3198	1874	4076
SLC4A8	301	18	7920	54	3229	2087	1612	5397	316	2692	864	6051	1242	1397
SLC4A9	1	0	0	0	0	0	0	0	1	2	0	0	1	0
SLC5A10	6	3	18	13	5	4	12	10	3	3	2	13	3	16
SLC5A11	1	0	2	1	3	2	0	7	37	3	1	2	34	8
SLC5A12	2	4	2	2	1	0	0	1	0	19	5	155	6	0
SLC5A1	38	8248	17	3279	1305	719	27	90	19	1437	96	745	3015	30
SLC5A2	22	0	1	11	8	14	7	0	0	3	0	2	8	7
SLC5A3	3106	1599	3712	2304	4175	1885	561	1680	3586	3444	7848	2926	5411	1825
SLC5A4	0	2	14	6	2	10	2	13	7	5	4	15	3	1
SLC5A5	2	0	66	1	0	5	1	29	1	0	0	29	1105	8
SLC5A6	8411	3061	3928	6399	1635	5650	1815	4656	6542	5458	4730	4576	6424	2247
SLC5A7	0	0	46	0	7	0	101	2	39	8	0	8	0	2
SLC5A8	171	160	0	4925	609	112	0	1259	0	950	719	380	806	75
SLC5A9	130	129	15	61	7	12	17	7	5	23	3	12	28	9
SLC6A10P	14	12	11	9	17	20	7	13	17	16	14	14	21	11
SLC6A11	231	27	238	2675	642	1	230	6	0	7	2	15	18	0
SLC6A12	69	61	136	19	51	11	25	63	43	12	38	33	70	68
SLC6A13	0	2	1	1	4	0	0	9	1	0	2	1	0	1
SLC6A14	357	3583	10	333	226	31	32	88	11	324	175	103	707	28
SLC6A15	1537	12	2	1517	8167	4	1	118	8	10	15	13	1	6
SLC6A16	57	69	105	91	38	36	41	10	34	53	12	29	13	11
SLC6A17	203	5	32	37	1782	5	962	114	26	31	27	68	58	282
SLC6A18	0	0	0	0	1	0	0	0	0	0	0	0	0	0
SLC6A19	0	0	0	0	19	0	0	9	0	0	0	2	0	0
SLC6A1	12	7	131	29	33	10	45	73	90	29	75	124	40	50
SLC6A20	4	18	10	3	46	137	12	75	20	51	12	143	23	30
SLC6A2	17	4	0	0	4	4	0	0	2	9	4	17	3	7
SLC6A3	0	0	1	0	166	4	1	2	7	0	0	37	1	2
SLC6A4	29	32	4	4	23	191	1	383	14	405	2	107	37	3
SLC6A5	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SLC6A6	2424	2278	3919	7170	2161	2725	2314	3741	2498	3109	4347	7129	3565	6430
SLC6A7	5	0	3	1	23	0	1	9	1	0	2	3	3	0
SLC6A8	3961	1839	4967	5076	2682	1824	1656	1921	2290	2270	1718	2700	2633	2109
SLC6A9	1989	366	3119	824	487	1479	356	1649	9376	727	503	462	1614	1155
SLC7A10	7	2	6	4	25	2	0	16	4	3	1	54	1	70
SLC7A11	1211	45	420	806	536	336	104	147	18	295	301	544	93	116
SLC7A13	0	0	18	0	0	6	5	3	35	31	19	50	36	15
SLC7A14	2	1	1	0	988	7	0	0	1	9	5	4	0	4
SLC7A1	6708	3507	5321	16481	34179	2114	1597	3469	1335	3891	2841	2480	2251	4174
SLC7A2	1118	379	27789	154	367	8270	79441	18625	617	42990	20519	129553	6190	43341
SLC7A3	2	30	45	735	471	205	14	1	10	197	11	89	29	8
SLC7A4	11	45	4	0	221	375	220	6	4	579	136	71	674	465
SLC7A5P1	17	0	0	2	8	2	0	7	4	1	0	2	1	4
SLC7A5P2	9	6	2	16	4	0	0	4	4	1	2	7	9	1
SLC7A5	36405	5054	1962	7490	13655	1026	329	7924	5463	4522	632	3165	3213	10873
SLC7A6OS	1115	396	321	680	492	261	226	341	379	293	338	396	525	447
SLC7A6	4459	1482	1856	2146	3003	1286	1044	2676	1864	2018	1729	1836	2108	2810
SLC7A7	1882	115	1501	268	285	589	518	1985	826	471	1162	891	1737	667
SLC7A8	667	851	17038	652	966	10896	607	5389	15869	12071	19937	10371	7699	5017
SLC7A9	3	5	6	0	48	8	1	6	6	4	5	18	9	5
SLC8A1	474	200	737	159	699	252	375	777	325	463	721	773	752	527
SLC8A2	4	12	4	14	315	19	10	6	5	4	1	63	6	27
SLC8A3	8	4	5	3	55	27	5	5	22	15	28	10	13	8
SLC9A10	1	0	3	6	0	1	2	0	2	2	3	8	1	0
SLC9A11	4	1	0	3	0	0	0	0	0	0	0	0	0	0
SLC9A1	3651	2790	4346	2426	2428	5086	2772	5290	4171	5553	4095	4677	8925	4412
SLC9A2	1195	56	837	5	172	291	2	528	1818	19	5	122	13	66
SLC9A3R1	2738	2316	23442	10083	1789	15299	7909	20439	18654	24746	20818	20406	12257	15520
SLC9A3R2	2283	1654	10464	1492	1053	8865	4179	8673	21027	4036	2697	4894	5286	2336
SLC9A3	1	5	2	2	6	2	2	1	9	1	0	2	4	10
SLC9A4	13	1	1	0	1	2	0	1	11	1	2	0	1	0
SLC9A5	14	47	64	85	39	30	11	20	37	30	24	24	123	28
SLC9A6	1100	1209	782	1346	1180	353	1172	668	376	549	939	583	700	482
SLC9A7	456	350	266	768	360	78	258	478	194	435	489	457	475	354
SLC9A8	1550	1156	1283	641	1037	1454	2051	1117	2001	1493	1328	2498	1457	2641
SLC9A9	280	86	244	66	57	344	227	339	260	280	329	423	616	321
SLCO1A2	242	20	0	163	11	2	9	0	3	105	9	11	11	2
SLCO1B1	1	1	0	0	0	0	0	0	0	0	0	0	0	0
SLCO1B3	923	1	0	0	1	0	2	0	0	0	1	0	0	0
SLCO1C1	2	6	8	3	0	9	15	5	10	15	5	28	13	12
SLCO2A1	966	520	2764	472	814	1355	1416	1907	1082	2272	1525	3908	1311	2235
SLCO2B1	2687	837	3202	764	485	1582	3312	4612	1950	1274	3550	1981	3613	1432
SLCO3A1	1656	245	856	378	1328	656	446	723	1490	904	822	2118	645	1862
SLCO4A1	434	15	83	22	826	78	47	22	50	32	8	62	24	3297
SLCO4C1	247	102	209	532	998	12	2	159	5	21	21	35	47	118
SLCO5A1	183	16	8	1866	1162	21	2	16	10	7	6	19	14	4
SLCO6A1	0	0	0	0	0	0	0	0	0	0	0	3	0	0
SLED1	4	0	4	1	1	0	2	0	0	0	0	0	3	2
SLFN11	1912	2062	1365	8109	6848	785	627	1593	1047	1392	2466	1629	3209	982
SLFN12L	17	14	8	23	2	29	9	100	28	36	15	30	98	6
SLFN12	128	694	179	89	23	131	81	232	187	230	389	477	453	134
SLFN13	2358	3792	142	13162	81	231	83	161	136	432	291	486	2275	134
SLFN14	0	0	1	3	0	9	0	1	4	7	3	6	4	0
SLFN5	969	1585	720	1968	552	877	755	1574	805	987	1213	4483	1493	1748
SLFNL1	11	22	7	14	14	16	5	5	8	8	3	4	22	4
SLIT1	16	27	50	21	3236	7	4870	11	14	2	14	107	15	506
SLIT2	568	1711	702	181	521	755	545	1126	881	1070	1772	1154	1345	855
SLIT3	744	4135	5081	281	84	1180	1653	2828	2108	2009	6324	2436	5100	2828
SLITRK1	33	13	1	6	69	2	0	0	6	5	0	6	3	0
SLITRK2	68	1	11	9	5	7	1	1	9	2	0	17	10	10
SLITRK3	4	1	14	116	14	8	1	10	2	15	53	5	34	10
SLITRK4	399	182	976	34	707	61	365	267	119	230	544	122	214	220
SLITRK5	282	145	80	4385	41	33	3	115	42	103	25	55	351	43
SLITRK6	319	9353	3629	7	841	2665	93	3845	64	3220	449	319	127	749
SLK	2319	4694	6941	10696	4387	4377	4678	6822	4831	6253	5848	9018	7487	4444
SLMAP	2094	2581	4038	2552	1536	2074	2331	4644	3473	4156	2428	5954	4587	2646
SLMO1	274	56	118	237	746	122	121	326	78	169	107	81	110	93
SLMO2	7113	3098	5435	6601	10894	3377	6144	1952	4176	4390	3239	7553	6512	13308
SLN	6	7	2	4	3	7	0	0	10	4	9	29	6	3
SLPI	2458	5337	759	693	370	498	772	539	64	2229	164	1012	2353	897
SLTM	4797	4854	7338	4546	5985	3201	6246	6996	5294	6539	4662	8290	5085	5632
SLU7	1902	2802	3204	2433	4036	2160	2679	4992	2688	3392	2028	3620	2342	4299
SLURP1	6	4	46	0	16	6	1	0	1	0	0	5	7	0
SMAD1	5594	3246	3409	1917	4466	1771	2180	2232	1909	3444	3124	2935	2350	2377
SMAD2	6867	5732	7926	6079	11593	4646	3748	6434	5039	7128	7412	4921	5397	5838
SMAD3	2722	6009	3898	798	15419	1455	2230	6300	2827	4194	2048	5775	2502	6393
SMAD4	5486	6375	4914	7033	11384	2879	3251	3533	3611	5651	5708	3699	3743	3957
SMAD5OS	5	9	9	9	26	12	4	4	3	7	9	9	7	10
SMAD5	2342	5411	6926	5363	7905	3288	3527	8026	2854	6118	4200	5045	4036	7245
SMAD6	203	179	286	166	248	202	76	277	135	260	204	323	198	174
SMAD7	2238	4137	1754	209	1296	1586	1542	1964	1516	1464	2560	2046	2557	1172
SMAD9	83	560	103	76	905	59	38	190	68	123	109	103	96	84
SMAGP	1268	847	437	1102	618	799	106	1595	868	779	350	1081	664	290
SMAP1	4169	1614	3508	4010	6003	1852	2824	2569	1747	1398	2697	2359	2341	3432
SMAP2	1942	1341	5116	3960	2204	6369	2521	3206	4683	4132	3005	2881	4575	3543
SMARCA1	481	3821	2874	4084	1970	2413	17323	1447	2447	4209	7631	6799	2768	5266
SMARCA2	9194	16468	11941	4669	5488	7417	7329	9191	8743	9147	10310	6788	13409	5259
SMARCA4	20116	9723	10143	29976	30228	12510	6972	14038	10391	12544	8212	6579	12017	6178
SMARCA5	10268	6046	8631	8559	15613	3757	5348	5962	6648	8641	6840	8331	6635	11130
SMARCAD1	2801	3369	2450	5960	4502	2074	2023	2057	1734	3294	2492	2833	2332	3156
SMARCAL1	1990	1701	1577	2889	1817	1591	1594	1494	1891	2545	1923	1950	2287	1319
SMARCB1	8591	4065	6029	11852	11311	3693	2947	3618	4222	5094	3942	3183	5942	7563
SMARCC1	15012	12937	10391	60298	25870	6265	10021	15301	10379	15366	7351	10739	13994	10518
SMARCC2	5762	5566	6389	6657	15657	9414	8927	10383	8037	11212	7189	7856	7923	5308
SMARCD1	4519	4745	3543	6926	9870	4336	2697	4170	3423	4558	2970	3307	4075	2506
SMARCD2	5909	7594	12183	28051	6359	6353	5025	131619	8957	8460	8031	5370	10143	54259
SMARCD3	1186	1015	1813	41	1485	578	130	541	295	1387	849	1189	793	1631
SMARCE1	7160	7114	5492	16249	15101	8717	7080	18909	10280	10783	11799	10655	5882	9350
SMC1A	9238	7558	5281	16696	43344	6647	6405	13066	6486	11859	9263	7340	14627	13046
SMC1B	2192	50	2	2040	31	7	5	417	2	6	8	8	45	4
SMC2	4941	1987	1297	5193	11261	979	2432	4015	1636	2645	1812	2060	3904	1375
SMC3	4204	4141	4661	29424	24180	4398	5838	5361	4228	6445	3967	6234	7076	4172
SMC4	6134	2090	6268	21561	17851	1909	4171	5919	2514	5419	2769	3621	16209	3022
SMC5	3170	3331	1673	3157	7158	1462	1655	3846	1680	3198	2373	3371	3007	1680
SMC6	3253	1343	3726	11087	4546	1423	1411	3014	2004	2332	2396	2264	4019	1714
SMCHD1	5983	3797	3110	5577	12194	2508	3237	4943	2897	4067	3411	3950	4331	2549
SMCP	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SMCR5	0	0	0	2	2	0	1	3	1	2	1	0	1	1
SMCR7L	4072	3292	2356	5521	6059	2628	3195	2544	2248	3351	3650	2166	3108	1887
SMCR7	637	890	1633	848	1034	834	725	1883	1772	956	677	830	846	798
SMCR8	1773	3282	2838	5938	3500	1993	2601	5501	4496	2702	2533	3147	2961	2310
SMEK1	3744	3946	5470	4557	7206	3380	4134	5062	4847	5061	3994	5849	7093	4727
SMEK2	7325	4766	7297	11828	9296	4637	5037	7443	5460	5991	6023	8581	6930	5740
SMEK3P	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SMG1	11571	9784	5974	16077	9075	4679	5048	9306	11281	9011	6957	9514	15415	7768
SMG5	18863	3433	6901	11791	13568	5228	4216	6706	5488	7876	4444	7379	8560	6203
SMG6	1703	3838	3998	2819	3811	2298	2083	4355	4627	3511	3293	3021	2888	2462
SMG7	9973	4383	10009	9902	12420	6652	6300	11589	6468	10228	8637	7475	9466	6830
SMN1	3	5	16	7	23	20	21	18	23	7	18	2	23	23
SMN2	2727	2826	2843	3948	4085	1980	2471	4437	2880	2497	2205	2645	2071	3188
SMNDC1	1518	1488	1966	6042	4295	1721	1134	1517	1294	2173	1468	1879	2271	1861
SMOC1	299	1814	605	81	6060	49	29	20	607	72	8	229	16	539
SMOC2	2515	8320	9546	392	1243	4937	5459	3535	19067	3591	14068	6827	7488	5482
SMOX	1506	1139	713	584	1437	491	725	485	590	317	497	378	411	808
SMO	2835	3606	2026	5760	2512	875	123	902	1491	2324	2529	1159	1526	1268
SMPD1	949	1533	2811	1996	1324	1548	2881	2468	2417	1791	4430	3012	4750	1665
SMPD2	1951	417	1145	780	721	637	688	1123	446	436	518	802	1121	1034
SMPD3	135	71	41	44	2274	852	190	1203	197	344	34	272	270	355
SMPD4	7177	3942	4866	12133	9999	7118	8392	6103	5782	5857	4789	6368	7331	4147
SMPDL3A	616	279	862	196	134	369	2810	619	125	413	691	1431	1311	1101
SMPDL3B	3393	800	1275	3983	984	510	2284	305	535	1664	624	466	619	1414
SMPX	2	47	0	0	0	0	0	0	0	0	2	0	0	0
SMR3A	0	0	0	355	0	0	0	0	0	0	0	0	0	0
SMR3B	0	0	1	397	0	33	2	10	0	0	15	0	0	0
SMS	8577	2473	4673	23040	8933	6586	3239	4021	9113	7424	4610	4759	5192	8114
SMTNL1	6	1	0	0	13	14	1	4	11	5	3	17	15	8
SMTNL2	65	8	9	1188	410	25	3	2	9	7	1	7	11	17
SMTN	1548	5213	3809	4884	2270	2412	2598	1862	1935	2683	2716	1667	4485	1635
SMU1	5481	3942	4997	5424	7872	3852	3998	4515	4651	6509	5122	10050	6535	3877
SMUG1	1295	920	1614	1929	1649	1983	1445	1858	1904	1703	1613	1941	1966	819
SMURF1	2507	2191	2352	1366	2654	1616	2697	4624	2234	1820	2732	3424	3982	2883
SMURF2	1164	1614	2082	4725	2403	664	757	3702	692	1481	1693	1379	1452	3162
SMYD1	17	37	4	13	10	4	30	2	5	133	15	147	14	5
SMYD2	3367	1222	4293	2703	2354	1374	2009	2885	2074	1610	1774	1695	3273	1350
SMYD3	842	310	4152	1331	1009	1133	1160	1299	936	1834	2714	1186	1866	1344
SMYD4	697	854	664	1552	1656	444	412	1328	810	712	617	661	556	637
SMYD5	1655	1880	1852	3872	1772	1673	2014	2074	1646	2670	1623	1974	2021	1741
SNAI1	279	12	460	283	257	121	97	280	130	222	244	391	635	147
SNAI2	590	5367	1676	384	413	1310	447	1982	658	2059	3836	1590	2285	978
SNAI3	60	26	85	30	18	79	39	68	89	20	33	29	63	54
SNAP23	2029	2654	5552	4819	1021	3673	4927	5431	4516	5487	5063	5113	4437	4238
SNAP25	69	0	48	57	2561	17	14	12	33	36	33	52	9	7
SNAP29	1851	2227	5648	4475	3784	3563	4026	3917	3458	5708	3676	2892	4295	8278
SNAP47	2344	1291	3521	3092	1366	2050	2315	2551	2200	3215	2772	2486	4144	2289
SNAP91	6	6	12	135	312	21	1	1	9	8	23	16	7	8
SNAPC1	627	514	515	887	910	400	354	529	360	431	332	829	552	552
SNAPC2	1340	890	2420	1052	480	2016	1927	1418	2803	2070	1158	881	1527	1034
SNAPC3	1379	842	1788	2220	2466	996	1086	1205	1997	1885	849	1366	1480	710
SNAPC4	1297	1566	615	982	2090	1228	831	1258	946	1226	807	906	1029	566
SNAPC5	277	175	287	284	190	152	252	312	271	280	265	265	303	179
SNAPIN	1439	822	5359	3673	1532	1803	2207	2610	1522	3204	1671	2553	3135	1447
SNAR-A13	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SNAR-A2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SNAR-A3	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SNAR-A4	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SNAR-B2	0	0	0	1	0	0	0	0	0	0	0	0	0	0
SNAR-C2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SNAR-C3	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SNAR-C4	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SNAR-D	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SNAR-E	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SNAR-F	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SNAR-G1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SNAR-G2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SNAR-H	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SNAR-I	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SNCAIP	257	165	65	35	937	206	49	128	202	278	203	309	151	169
SNCA	674	509	164	139	290	106	92	177	93	150	207	236	58	163
SNCB	3	0	2	2	49	0	0	0	4	2	1	1	0	3
SNCG	128	103	979	20	194	877	172	99	443	4877	459	503	196	334
SND1	16180	15648	16082	12529	14030	14656	13782	7634	13403	16932	11084	9963	13933	13509
SNED1	344	694	3766	292	280	1037	914	3200	6519	1012	1987	1950	3108	2215
SNF8	2626	1647	2514	4995	2639	2196	1835	2444	2153	2404	2837	2302	2893	2382
SNHG10	252	130	105	315	436	103	201	90	118	94	72	157	130	56
SNHG11	429	272	405	503	369	894	298	334	682	357	310	714	492	1406
SNHG12	1262	321	268	364	1169	185	154	152	297	199	163	241	384	198
SNHG1	3719	1793	538	1652	7782	1244	653	944	661	901	526	948	993	540
SNHG3-RCC1	799	774	181	380	1082	408	207	214	881	304	517	311	455	332
SNHG3	127	115	61	76	240	67	41	69	68	66	44	64	72	47
SNHG4	50	57	15	10	10	28	12	58	4	8	8	11	6	0
SNHG5	31730	3850	3261	797	7619	5719	2672	1066	950	2828	2338	4418	920	2759
SNHG6	12718	2370	1274	2169	20524	2424	887	1603	2638	2271	1077	1295	1248	1966
SNHG7	2315	1769	805	203	4854	1409	1267	592	1181	1749	718	1575	584	1517
SNHG8	4009	2908	1387	460	2483	1282	2082	787	1319	2161	891	736	570	1940
SNHG9	137	52	109	55	41	84	85	49	242	68	135	32	173	89
SNIP1	1275	893	1403	2163	1528	980	1274	876	1044	1087	1340	885	1331	1110
SNN	2702	1695	1629	10069	2179	2372	2600	2088	4150	3218	2468	2344	4318	1891
SNORA10	2	0	1	2	0	0	0	0	0	1	0	0	0	0
SNORA11B	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SNORA11C	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SNORA11D	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SNORA11E	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SNORA11	0	0	0	0	0	0	0	0	0	0	0	1	1	0
SNORA12	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SNORA13	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SNORA14A	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SNORA14B	0	0	0	0	0	2	0	0	0	0	0	0	1	0
SNORA15	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SNORA16A	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SNORA16B	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SNORA18	1	1	0	0	0	0	0	0	0	0	0	0	0	0
SNORA19	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SNORA1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SNORA20	0	0	0	0	2	0	0	0	0	0	0	0	1	0
SNORA21	1	0	4	0	0	0	0	0	0	1	0	0	1	0
SNORA22	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SNORA23	0	0	0	0	3	0	0	1	1	3	0	10	6	0
SNORA24	1	0	0	0	0	0	0	0	0	0	0	1	1	0
SNORA25	0	0	0	0	1	0	0	0	0	0	0	0	0	0
SNORA26	0	0	0	0	0	0	0	0	0	0	0	0	1	0
SNORA27	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SNORA28	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SNORA29	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SNORA2A	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SNORA2B	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SNORA30	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SNORA31	0	2	0	0	0	0	0	0	0	0	1	0	0	0
SNORA32	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SNORA34	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SNORA35	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SNORA36A	0	0	0	2	0	0	0	0	0	0	0	0	0	0
SNORA36B	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SNORA36C	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SNORA37	0	0	0	0	0	0	0	0	2	0	0	0	0	0
SNORA38B	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SNORA38	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SNORA39	0	6	9	22	10	17	10	6	18	8	8	18	28	21
SNORA3	0	0	0	0	0	0	0	0	0	1	0	0	0	0
SNORA40	1	0	0	0	0	0	0	0	1	0	0	2	0	0
SNORA41	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SNORA42	2	0	0	0	0	0	0	0	0	0	0	1	0	0
SNORA44	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SNORA45	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SNORA46	0	0	0	0	0	0	0	1	0	0	0	0	0	0
SNORA47	0	0	0	0	0	0	0	0	0	1	0	0	1	0
SNORA48	1	1	0	1	0	0	0	0	0	2	0	0	0	0
SNORA49	0	0	1	0	1	0	0	0	0	1	0	2	0	0
SNORA4	0	0	0	0	0	0	0	0	2	0	0	0	0	0
SNORA50	0	0	0	0	0	0	0	0	0	0	0	1	0	0
SNORA51	0	1	0	0	0	0	0	0	0	0	0	0	0	0
SNORA52	0	0	0	0	0	0	0	0	0	0	0	0	1	0
SNORA53	2	0	1	2	7	4	2	3	4	12	0	9	12	2
SNORA54	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SNORA55	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SNORA56	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SNORA57	1	0	1	0	1	1	0	0	5	4	0	4	4	0
SNORA58	0	0	0	0	0	0	0	0	0	0	0	0	1	0
SNORA59B	0	0	0	3	0	1	0	0	0	0	0	0	0	0
SNORA5A	0	0	0	0	0	0	0	0	0	1	0	0	2	0
SNORA5B	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SNORA5C	0	0	2	0	1	0	0	0	0	1	0	0	1	0
SNORA61	1	0	0	0	0	0	0	0	4	0	0	0	0	0
SNORA62	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SNORA63	6	0	0	3	2	1	0	2	3	4	2	7	5	0
SNORA64	0	0	0	0	0	0	0	0	0	3	0	0	0	0
SNORA65	0	0	0	0	0	0	1	0	0	0	0	1	0	0
SNORA66	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SNORA67	1	3	1	3	1	0	0	0	0	1	1	1	1	0
SNORA68	0	0	0	0	0	0	0	0	1	0	0	0	0	0
SNORA69	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SNORA6	0	0	0	0	0	0	0	0	1	0	0	0	2	0
SNORA70B	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SNORA70C	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SNORA70	0	0	1	0	0	2	0	0	0	0	0	1	0	0
SNORA71A	0	0	0	1	0	0	0	0	0	0	0	0	0	0
SNORA71B	1	0	0	0	0	0	0	1	1	0	0	0	0	0
SNORA71C	0	0	0	0	0	0	0	0	0	0	0	0	1	0
SNORA71D	0	0	0	0	0	0	0	0	0	0	0	0	1	0
SNORA72	0	0	0	2	1	0	0	0	0	0	0	2	3	0
SNORA74A	0	1	0	0	2	1	0	0	1	0	0	5	6	0
SNORA74B	0	0	1	0	1	0	0	0	1	3	0	0	1	2
SNORA75	1	0	0	0	1	0	0	0	0	1	0	0	0	0
SNORA76	0	0	0	1	0	0	0	1	0	1	0	0	0	0
SNORA77	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SNORA78	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SNORA79	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SNORA7B	12	2	12	33	0	20	2	8	14	9	10	23	23	3
SNORA80	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SNORA81	1	0	1	1	3	0	3	2	4	5	2	6	12	0
SNORA84	0	0	0	0	0	0	0	0	0	0	0	0	0	0
